Mean,Variance,InboundsScore
0.166667,0.143678,0.605263
0.166667,0.143678,0.605263
0.166667,0.143678,0.605263
0.166667,0.143678,0.605263
0.166667,0.143678,0.600000
0.166667,0.143678,0.600000
0.166667,0.143678,0.608696
0.166667,0.143678,0.608696
0.166667,0.143678,0.612069
0.166667,0.143678,0.615385
0.166667,0.143678,0.615385
0.166667,0.143678,0.615385
0.166667,0.143678,0.615385
0.166667,0.143678,0.615385
0.166667,0.143678,0.615385
0.166667,0.143678,0.632479
0.166667,0.143678,0.632479
0.166667,0.143678,0.632479
0.166667,0.143678,0.632479
0.166667,0.143678,0.632479
0.166667,0.143678,0.632479
0.166667,0.143678,0.632479
0.166667,0.143678,0.632479
0.200000,0.165517,0.632479
0.200000,0.165517,0.632479
0.200000,0.165517,0.632479
0.200000,0.165517,0.632479
0.200000,0.165517,0.632479
0.233333,0.185057,0.632479
0.233333,0.185057,0.632479
0.866667,0.119540,0.635593
1.000000,0.000000,0.635593
1.000000,0.000000,0.635593
1.000000,0.000000,0.635593
1.000000,0.000000,0.627119
1.000000,0.000000,0.632479
1.000000,0.000000,0.623932
1.000000,0.000000,0.620690
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.626087
1.000000,0.000000,0.622807
1.000000,0.000000,0.622807
1.000000,0.000000,0.622807
1.000000,0.000000,0.622807
1.000000,0.000000,0.622807
1.000000,0.000000,0.622807
1.000000,0.000000,0.622807
1.000000,0.000000,0.622807
1.000000,0.000000,0.614035
1.000000,0.000000,0.610619
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.616071
1.000000,0.000000,0.607143
1.000000,0.000000,0.607143
1.000000,0.000000,0.612613
1.000000,0.000000,0.612613
1.000000,0.000000,0.612613
1.000000,0.000000,0.612613
1.000000,0.000000,0.609091
1.000000,0.000000,0.600000
1.000000,0.000000,0.600000
1.000000,0.000000,0.600000
1.000000,0.000000,0.600000
1.000000,0.000000,0.600000
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.572727
1.000000,0.000000,0.568807
1.000000,0.000000,0.568807
1.000000,0.000000,0.568807
1.000000,0.000000,0.568807
1.000000,0.000000,0.560748
1.000000,0.000000,0.551402
1.000000,0.000000,0.552381
1.000000,0.000000,0.552381
1.000000,0.000000,0.557895
1.000000,0.000000,0.557895
1.000000,0.000000,0.547368
1.000000,0.000000,0.547368
1.000000,0.000000,0.559140
1.000000,0.000000,0.559140
1.000000,0.000000,0.548387
1.000000,0.000000,0.489130
1.000000,0.000000,0.489130
0.033333,0.033333,0.246575
0.033333,0.033333,0.753425
0.033333,0.033333,0.753425
0.066667,0.064368,0.763158
0.066667,0.064368,0.763158
0.066667,0.064368,0.763158
0.066667,0.064368,0.763158
0.166667,0.143678,0.811765
0.166667,0.143678,0.857143
0.100000,0.093103,0.842105
0.100000,0.093103,0.852632
0.100000,0.093103,0.852632
0.100000,0.093103,0.870000
0.100000,0.093103,0.870000
0.100000,0.093103,0.871287
0.100000,0.093103,0.872549
0.100000,0.093103,0.875000
0.100000,0.093103,0.875000
0.100000,0.093103,0.876190
0.100000,0.093103,0.876190
0.100000,0.093103,0.876190
0.100000,0.093103,0.876190
0.100000,0.093103,0.876190
0.100000,0.093103,0.876190
0.100000,0.093103,0.887850
0.100000,0.093103,0.888889
0.100000,0.093103,0.888889
0.100000,0.093103,0.898148
0.100000,0.093103,0.909910
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.936937
0.100000,0.093103,0.946903
0.100000,0.093103,0.946903
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
0.100000,0.093103,0.956140
